method,mean_exam,per5,per10,per20
301_win8,0.2974,0.0481,0.119,0.3316
310_win8,0.1482,0.2658,0.519,0.7646
311_win8,0.3339,0.0304,0.0759,0.2456
400_win8,0.1205,0.4633,0.6481,0.7873
401_win8,0.2768,0.0608,0.1646,0.4
410_win8,0.1498,0.2937,0.5266,0.7544
411_win8,0.3038,0.038,0.1114,0.3367
000_win9,0.1068,0.5392,0.6937,0.8177
001_win9,0.2917,0.0456,0.1291,0.357
010_win9,0.1478,0.2861,0.5266,0.7595
011_win9,0.3233,0.0329,0.0861,0.2734
100_win9,0.1116,0.4987,0.6684,0.8127
101_win9,0.2776,0.0608,0.1494,0.3848
110_win9,0.146,0.2962,0.5316,0.762
111_win9,0.3021,0.043,0.1089,0.3114
200_win9,0.1223,0.4456,0.638,0.7848
201_win9,0.28,0.0557,0.1494,0.4025
210_win9,0.1523,0.2861,0.5139,0.7468
211_win9,0.3064,0.0278,0.1038,0.3241
300_win9,0.1026,0.5595,0.7089,0.8203
301_win9,0.2989,0.0456,0.1165,0.3342
310_win9,0.1501,0.2658,0.5089,0.7519
311_win9,0.3341,0.0253,0.0785,0.238
400_win9,0.1218,0.4481,0.6481,0.7899
401_win9,0.2787,0.0582,0.1544,0.3949
410_win9,0.1514,0.2911,0.519,0.7519
411_win9,0.305,0.0329,0.1038,0.3266
