method,mean_exam,per5,per10,per20
TAP_win9,0.2872,0.0506,0.1404,0.3371
TGM_win9,0.1565,0.2472,0.4663,0.7022
TGP_win9,0.3043,0.0281,0.0955,0.2978
DAM_win9,0.1377,0.3876,0.5337,0.7247
DAP_win9,0.2879,0.0393,0.1348,0.3708
DGM_win9,0.1663,0.236,0.4607,0.6742
DGP_win9,0.3118,0.0112,0.0843,0.2865
ZAM_win9,0.1184,0.4888,0.6124,0.764
ZAP_win9,0.3148,0.0281,0.0899,0.2865
ZGM_win9,0.1617,0.2079,0.4494,0.7022
DGP_win9,0.3418,0.0112,0.0618,0.2022
JAM_win9,0.1364,0.3876,0.5506,0.736
JAP_win9,0.2864,0.0449,0.1461,0.3596
JGM_win9,0.1649,0.2472,0.4551,0.6854
JGP_win9,0.3095,0.0169,0.0843,0.2865
